"id","earnings","occ","ability","age","region","female","education","exp"
160,3734.45,45,21,32,1,1,2,23
161,4715.7,50,49,48,4,1,8,39
162,2715.95,9,33,47,1,1,3,38
163,4606.5,48,63,42,4,0,10,29
164,4256.7,42,56,39,4,1,8,27
165,4321.7,38,44,37,2,1,7,25
166,3396,19,80,32,2,0,9,22
167,4425.95,37,54,48,3,1,7,36
168,4023.5,36,62,40,2,0,6,29
169,3569.7,18,96,41,2,1,13,25
170,4526.45,44,29,40,3,1,3,33
171,3024.75,21,34,46,3,0,4,38
172,3218.5,29,37,43,2,0,5,33
173,5633.45,49,78,40,3,1,12,23
174,4990.25,40,72,48,3,0,9,33
175,3081.45,13,40,41,1,1,4,35
176,3692.75,28,38,46,3,0,4,38
177,4754,42,58,39,4,0,10,22
178,4227.2,20,99,35,2,1,12,22
179,2269.5,15,22,46,4,0,2,41
180,3330.25,9,88,41,1,0,11,25
181,3615.75,37,31,37,1,0,3,32
182,3591.95,33,22,45,3,1,3,38
183,2550,9,38,47,4,0,4,40
184,4096.25,36,61,32,1,0,9,17
185,4659.25,25,91,43,1,0,15,25
186,3803.7,30,73,35,2,1,7,23
187,5447.95,48,77,32,3,1,9,20
188,3314.45,22,48,33,1,1,5,23
189,3343.45,28,25,42,3,1,3,35
190,3998.2,35,45,39,2,1,6,30
191,4802.95,34,83,39,1,1,8,24
192,5085.7,51,85,42,4,1,9,29
193,5141.45,33,89,44,3,1,12,25
194,5011.45,31,97,43,1,1,16,21
195,4825.5,44,86,42,4,0,12,29
196,3241,13,58,30,4,0,7,22
197,2790.75,13,65,48,1,0,7,36
198,2071.2,10,26,34,4,1,2,26
199,3960.5,33,52,31,4,0,7,19
200,3828.75,22,77,41,1,0,8,28
201,3272.7,5,87,49,4,1,14,31
202,5208.45,48,99,43,3,1,11,29
203,2847.95,3,71,43,1,1,12,30
204,4489,24,81,41,4,0,11,26
205,4985.7,31,85,47,4,1,12,29
206,2857,6,44,39,2,0,5,30
207,3857.2,17,73,43,2,1,9,28
208,2398.45,3,55,35,1,1,8,25
209,3923.75,15,72,38,3,0,11,24
210,1878.2,5,42,35,4,1,4,26
211,3595.25,31,24,38,1,0,3,31
212,3184.75,31,33,32,3,0,5,20
213,4734.2,41,43,37,2,1,6,30
214,3668,37,53,32,2,0,8,20
215,3361.5,34,32,35,4,0,3,31
216,3543.7,20,51,49,4,1,6,39
217,4293,36,39,43,4,0,4,38
218,2337.45,1,33,49,1,1,5,39
219,3133.2,16,30,47,4,1,3,42
220,2957.5,15,74,45,2,0,8,35
221,4125.7,26,98,40,4,1,13,23
222,3079.95,10,90,35,3,1,9,22
223,3666.7,37,22,40,4,1,2,33
224,4849.95,46,64,30,1,1,7,22
225,2190,12,25,31,4,0,2,24
226,2908.45,16,51,43,1,1,7,35
227,3082.5,9,82,46,2,0,12,31
228,4438.5,37,70,36,2,0,7,25
229,4791.75,44,76,33,1,0,11,18
230,3578.2,26,77,37,2,1,11,24
231,4386.7,50,40,46,2,1,5,39
232,5240.7,45,60,43,2,1,9,33
233,3584.25,16,96,48,3,0,14,33
234,3365.45,21,48,39,3,1,7,29
235,3217.2,15,51,37,4,1,5,30
236,4143.7,22,77,39,4,1,9,23
237,2276.7,8,39,45,4,1,5,35
238,5315.95,51,66,41,1,1,6,30
239,3749.5,23,41,35,4,0,7,21
240,2576.75,5,56,40,1,0,8,30
241,2730.2,6,72,31,2,1,12,12
242,4479.45,44,67,30,3,1,10,13
243,2440.75,7,34,49,3,0,5,38
244,2259.2,8,36,34,2,1,4,28
245,3524.25,9,76,49,3,0,9,37
246,2478.75,6,47,45,1,0,5,34
247,3127,9,93,41,2,0,9,30
248,4082.7,20,87,31,2,1,8,19
249,3715.5,43,24,48,2,0,4,43
250,3401.5,14,63,39,4,0,9,27
251,4952.25,40,88,39,1,0,10,23
252,2965.2,7,67,43,2,1,9,32
253,3562.75,15,88,39,1,0,11,26
254,4085.95,23,64,46,1,1,6,36
255,3251.95,21,40,31,3,1,4,20
256,3244.95,17,34,43,3,1,3,36
257,2980.2,7,94,47,4,1,11,30
258,4572.5,45,46,30,2,0,6,19
259,3050.5,21,22,43,2,0,3,37
260,3371.25,12,54,41,1,0,5,31
261,2917.25,2,70,32,1,0,8,19
262,2856.5,27,21,35,2,0,2,27
263,4715.45,41,70,46,1,1,10,33
264,2920.2,25,31,31,4,1,4,22
265,2560.75,8,22,38,3,0,2,32
266,3376.2,7,64,40,2,1,11,22
267,4040.75,34,69,47,3,0,8,36
268,3800.7,20,82,49,2,1,10,37
269,4060.7,39,22,46,4,1,3,37
270,4842.5,32,94,48,4,0,12,35
271,3105.5,4,69,35,2,0,10,23
272,4319,18,98,45,4,0,16,28
273,3953.75,47,28,36,1,0,3,30
274,3002.25,7,84,36,3,0,10,21
275,2867.95,17,31,42,1,1,4,36
276,4254,42,41,45,4,0,6,38
277,5567,51,61,41,4,0,8,32
278,4832.7,32,79,47,2,1,8,35
279,4584.45,40,82,37,1,1,11,23
280,3047.2,25,23,39,2,1,3,34
281,3064.7,21,60,42,2,1,7,29
282,3392.75,9,99,39,3,0,17,20
283,3231.7,15,36,36,4,1,4,31
284,3403.75,11,63,44,1,0,6,36
285,3012.45,21,53,45,1,1,8,35
286,4194.25,47,25,48,3,0,3,41
287,3796.75,30,89,30,1,0,11,18
288,2399,12,26,48,2,0,3,38
289,5749.45,51,77,46,1,1,13,29
290,5288.5,49,72,38,4,0,12,23
291,4869.75,26,99,41,3,0,14,20
292,3518.7,19,92,37,4,1,11,21
293,3703.2,25,78,32,2,1,13,16
294,3916.45,28,61,30,1,1,10,15
295,4307.45,44,34,31,1,1,5,21
296,4827.2,49,79,35,2,1,8,20
297,3793,36,54,32,4,0,8,18
298,4155.2,46,51,34,2,1,9,18
299,3028,9,86,48,4,0,9,38
300,3352.5,26,48,38,2,0,6,27
301,4524.7,38,62,33,4,1,7,19
302,2786.25,26,20,36,3,0,2,27
303,4428.7,35,50,36,4,1,7,25
304,3351.5,9,78,31,4,0,12,15
305,4642.75,37,89,44,1,0,15,22
306,4382.45,46,27,42,3,1,3,33
307,4272,27,97,31,4,0,13,16
308,2259,7,56,35,2,0,8,22
309,4210.7,33,86,49,2,1,11,33
310,3406,15,54,40,4,0,9,30
311,2826.45,11,51,47,1,1,5,37
312,2888.45,5,59,30,3,1,6,19
313,2448.75,3,60,48,1,0,9,34
314,2768.75,3,87,36,3,0,9,26
315,5670.25,47,90,48,3,0,14,31
316,5566.7,46,69,42,4,1,11,25
317,2556.95,4,40,44,3,1,4,38
318,3450.45,11,96,41,1,1,12,23
319,2117,11,31,46,2,0,3,36
320,3112.25,27,30,47,1,0,3,37
321,3902.25,30,53,40,3,0,8,31
322,3761,31,51,49,2,0,7,38
323,3562.7,13,60,48,4,1,8,39
324,3784.2,5,86,49,4,1,13,32
325,2754.2,15,43,43,2,1,6,30
326,3021.75,21,21,36,3,0,3,28
327,3988.95,23,66,41,3,1,6,34
328,4292.25,38,33,43,1,0,5,33
329,4670.95,41,63,49,1,1,11,32
330,4332,34,85,43,4,0,12,24
331,5760.95,48,82,47,1,1,11,30
332,3579.75,23,62,35,3,0,10,20
333,4322.95,35,68,46,3,1,9,32
334,3851.5,16,63,47,4,0,10,31
335,5419.2,45,73,47,2,1,11,30
336,2929.25,15,78,33,1,0,8,23
337,4121.5,35,28,45,2,0,4,35
338,4108,15,99,47,4,0,14,32
339,2980.2,7,75,30,4,1,9,14
340,3347.75,32,40,37,3,0,4,26
341,4558,49,30,39,2,0,5,28
342,2991.2,25,20,33,2,1,2,28
343,3095.5,19,41,48,2,0,6,37
344,5676.7,46,80,48,2,1,13,31
345,5078.95,46,88,39,1,1,14,18
346,4289,25,97,33,4,0,12,16
347,5535.5,49,74,47,2,0,13,27
348,5030.25,45,90,35,3,0,9,21
349,2466.75,18,27,43,1,0,3,36
350,4313.45,33,78,38,1,1,9,25
351,5335.75,48,76,35,3,0,12,20
352,4421,37,93,46,2,0,11,34
353,4247.5,38,50,49,4,0,5,41
354,3260.95,17,52,47,3,1,8,32
355,4880.25,38,76,33,1,0,11,17
356,3689.5,21,66,47,2,0,7,39
357,3048.7,12,49,38,4,1,5,31
358,3980,48,27,41,4,0,3,34
359,3677.7,26,45,46,4,1,6,35
360,2152.5,2,60,46,2,0,6,33
361,3313,13,45,42,2,0,6,30
362,2383.7,5,38,35,4,1,4,29
363,4252.75,14,89,47,1,0,15,28
364,2212.5,4,67,36,2,0,8,27
365,4534.95,49,38,39,3,1,6,28
366,3782.5,33,42,40,2,0,5,33
367,6327.7,52,90,44,4,1,15,23
368,2668.45,2,73,43,1,1,9,29
369,3742.75,30,65,44,3,0,7,30
370,3719.95,23,81,41,1,1,12,26
371,2815,15,31,47,4,0,4,38
372,5127.45,51,80,30,1,1,9,19
373,2808.5,10,28,47,4,0,2,41
374,3975.75,28,44,44,1,0,6,34
375,2667.45,3,37,36,1,1,6,27
376,3737.7,22,69,38,4,1,11,25
377,3820.7,37,34,35,4,1,4,27
378,2900.2,3,78,36,4,1,8,24
379,3780.5,40,36,40,2,0,5,29
380,3193.7,10,78,45,2,1,9,33
381,2687.75,9,76,36,1,0,10,20
382,2193.7,6,43,42,2,1,7,29
383,4354.95,26,66,47,3,1,9,32
384,4359.45,31,75,40,1,1,13,25
385,2701.45,4,63,43,1,1,8,29
386,3373.7,19,75,37,4,1,8,27
387,3023,9,85,36,2,0,13,16
388,4363.45,35,62,40,3,1,9,29
389,3984.25,27,60,41,1,0,9,29
390,3035.5,13,50,32,2,0,5,23
391,2482.25,13,46,39,1,0,7,25
392,3665.2,10,84,36,4,1,9,22
393,2567.2,7,63,46,4,1,9,34
394,3653.95,28,44,44,3,1,5,36
395,5093.95,40,83,31,1,1,14,16
396,4375,38,40,31,4,0,5,24
397,2774.2,11,58,42,2,1,6,34
398,4749,50,32,32,4,0,3,26
399,4098.7,28,70,38,2,1,9,25
400,2754.75,22,21,45,3,0,2,38
401,2785.25,8,48,31,3,0,4,25
402,3964.7,38,33,30,4,1,4,23
403,4532.45,24,94,42,1,1,10,25
404,2832.25,13,28,48,3,0,4,37
405,3804.25,22,85,47,3,0,10,31
406,2434.25,6,24,43,3,0,3,39
407,2461.2,5,91,30,2,1,11,14
408,6041.45,51,92,37,3,1,16,17
409,4731.7,43,39,43,4,1,4,35
410,4491,22,96,43,4,0,17,22
411,5026.75,38,86,45,1,0,13,26
412,4082.75,24,89,35,3,0,9,22
413,2924.7,25,20,43,4,1,3,37
414,3322.75,32,27,38,1,0,4,28
415,3884.75,29,50,44,3,0,7,34
416,3966.75,22,98,44,3,0,12,28
417,4302.25,34,65,32,3,0,10,21
418,2618.95,10,42,42,3,1,6,34
419,3755.5,16,77,41,4,0,13,23
420,3045.2,30,34,40,2,1,3,30
421,5173.5,36,99,40,4,0,13,25
422,2921.95,14,50,37,3,1,6,28
423,2494.75,6,48,32,3,0,7,20
424,4066.45,23,93,38,1,1,14,19
425,3795.2,18,57,40,4,1,9,30
426,3569.7,12,94,49,2,1,13,35
427,5199.95,44,99,37,3,1,16,20
428,4086.5,31,36,33,4,0,6,21
429,5368,44,83,34,4,0,13,18
430,4722.45,49,27,34,1,1,4,25
431,4532.2,23,87,47,2,1,14,28
432,3659,22,83,31,4,0,8,20
433,4557.45,37,96,40,1,1,17,17
434,3219.75,7,66,44,1,0,7,36
435,3982.45,19,98,45,3,1,10,31
436,3689.2,18,72,37,4,1,7,24
437,4699.95,40,76,49,1,1,8,40
438,2572.7,7,34,31,2,1,3,23
439,2460.75,19,27,34,3,0,3,30
440,3572.95,24,32,39,1,1,3,34
441,4720.45,48,47,45,1,1,7,35
442,3070.2,18,53,36,2,1,6,28
443,4547.75,31,84,42,1,0,14,26
444,3895.95,19,54,48,3,1,8,38
445,3110.95,7,68,48,3,1,10,36
446,2141.5,2,20,48,4,0,3,41
447,2978.75,7,84,39,1,0,13,20
448,4059.7,34,84,35,4,1,10,21
449,4315.45,36,50,33,3,1,8,23
450,2226.45,7,41,47,3,1,5,35
451,1966.75,1,36,32,3,0,6,20
452,2884.95,6,93,37,1,1,10,24
453,3264.2,22,33,41,4,1,4,30
454,4543.5,44,41,47,2,0,4,41
455,3877.2,28,86,44,2,1,10,28
456,2679,9,73,37,2,0,12,20
457,2607.75,5,28,46,3,0,3,42
458,4004.95,28,68,43,1,1,10,26
459,4062.5,30,70,38,2,0,11,25
460,2450.25,16,23,43,3,0,3,37
461,3764.5,12,96,48,2,0,15,31
462,3374.75,33,29,30,3,0,3,20
463,2851.75,8,27,47,3,0,3,38
464,3451.45,11,73,46,1,1,10,31
465,5217.75,42,87,43,1,0,14,28
466,2218.75,5,33,48,3,0,5,42
467,3338,31,32,41,4,0,3,32
468,4558.95,33,57,45,1,1,7,32
469,3948.25,23,85,41,1,0,12,25
470,3497.75,33,54,30,1,0,9,16
471,2904,10,56,43,2,0,6,32
472,4267.2,33,49,45,4,1,7,32
473,2664.95,10,23,33,1,1,3,28
474,4570.95,48,55,41,3,1,8,30
475,4844,42,79,36,2,0,8,24
476,5079.25,43,87,48,3,0,11,35
477,4116.95,34,83,41,3,1,10,28
478,3877.25,36,47,43,3,0,5,33
479,4523.7,37,85,35,2,1,9,21
480,3375,23,41,40,2,0,6,32
481,2163.75,3,26,31,1,0,3,26
482,3595,33,30,45,2,0,3,40
483,3401.95,15,82,42,1,1,9,30
484,4323.45,35,89,42,3,1,12,23
485,3878.7,41,32,32,2,1,4,27
486,3666.25,30,53,47,1,0,9,37
487,4310.25,28,67,43,1,0,11,29
488,4449.25,45,32,45,1,0,3,35
489,2946.7,13,54,31,4,1,6,19
490,4430.75,21,97,35,3,0,16,18
491,4051.25,26,43,45,3,0,6,35
492,4825.2,49,73,33,2,1,9,20
493,4072.5,25,68,44,4,0,8,33
494,3717,13,74,49,2,0,12,36
495,4322,27,92,39,4,0,14,20
496,3080.25,10,46,33,3,0,5,21
497,2893.95,13,59,34,3,1,9,22
498,4339.2,50,43,30,2,1,5,18
499,3764.45,34,30,48,1,1,4,39
500,3009.75,17,79,30,1,0,12,12
501,5043.5,46,59,42,4,0,8,31
502,2766.75,3,74,41,1,0,10,28
503,5299,43,94,37,4,0,10,24
504,5407.7,51,74,40,2,1,12,21
505,4632.45,40,79,47,3,1,9,33
506,4022.45,29,56,39,3,1,6,31
507,3477.75,14,61,39,3,0,6,30
508,4294.2,27,95,47,2,1,14,30
509,4952.2,41,84,39,2,1,12,26
510,3016.95,17,55,36,3,1,7,26
511,2498.45,1,32,43,3,1,5,33
512,4017.2,33,53,49,4,1,8,38
513,4878.7,35,96,30,4,1,10,13
514,4435.5,33,77,45,4,0,9,35
515,3828.2,28,59,31,4,1,8,22
516,2994.5,17,48,43,2,0,5,33
517,4359.75,38,58,40,3,0,6,30
518,2050.75,8,39,30,1,0,4,24
519,4292.25,27,96,42,3,0,12,27
520,4802.45,44,61,47,3,1,10,31
521,4064.5,44,27,30,2,0,4,19
522,4081.75,44,40,41,1,0,4,36
523,3720.2,32,34,46,2,1,4,36
524,3349.2,12,48,47,4,1,6,34
525,2270.25,2,68,35,1,0,10,21
526,4251.75,16,98,35,3,0,14,16
527,4039.95,41,29,32,3,1,4,22
528,3346.95,24,63,49,1,1,6,40
529,3876.2,41,49,35,2,1,6,22
530,3199.2,31,36,34,2,1,4,26
531,4001.5,46,34,30,2,0,4,21
532,4966.7,38,83,40,2,1,14,21
533,3940.45,19,61,47,1,1,9,37
534,4637.7,24,94,40,4,1,14,23
535,2389,8,26,32,2,0,3,28
536,5727.95,51,99,36,1,1,11,22
537,3762.2,21,51,45,4,1,8,30
538,3670.45,37,42,31,3,1,7,23
539,3019.7,2,69,44,4,1,8,31
540,2822.7,7,80,30,2,1,11,17
541,3960.25,25,57,34,1,0,10,19
542,3785.5,24,72,36,4,0,9,21
543,5159.25,48,49,47,1,0,7,39
544,2796.2,8,66,47,4,1,7,38
545,4748.2,34,85,35,2,1,12,20
546,3369,32,36,31,4,0,4,26
547,3615.75,20,97,34,1,0,11,16
548,3114.7,15,72,32,4,1,10,21
549,4385.45,49,55,43,1,1,5,33
550,3014.95,5,84,45,3,1,14,30
551,4724.7,43,67,46,4,1,11,31
552,5034.7,46,98,48,4,1,11,35
553,4091.25,33,58,30,3,0,10,13
554,4500.7,44,23,46,2,1,3,39
555,3239.5,26,26,32,2,0,3,23
556,5824.75,46,98,45,1,0,16,24
557,3368.2,21,55,35,2,1,7,22
558,3752.45,22,81,38,1,1,13,21
559,2989.5,18,26,44,2,0,3,35
560,3168.25,33,34,42,1,0,3,37
561,3287.7,12,91,41,2,1,12,23
562,2595.2,3,57,49,2,1,10,38
563,3855,21,64,41,2,0,6,28
564,2357,7,53,49,2,0,9,38
565,5329.75,38,85,40,3,0,12,24
566,2499.2,10,25,48,2,1,3,44
567,3936.7,48,38,30,2,1,5,21
568,3154.75,13,97,30,1,0,14,12
569,2347.75,10,36,30,3,0,5,18
570,2331.25,15,42,33,1,0,4,25
571,2723.95,10,28,47,1,1,3,40
572,3035.7,24,28,34,4,1,3,27
573,4069,26,55,47,2,0,5,36
574,3424.25,36,28,49,1,0,4,43
575,3019.95,10,76,47,1,1,12,32
576,3887.25,49,23,37,1,0,2,33
577,3373.2,15,35,47,4,1,5,38
578,4753.7,32,86,30,4,1,9,17
579,2221.45,8,50,32,3,1,8,23
580,3208.7,29,39,34,4,1,3,27
581,4549.75,47,26,44,1,0,4,36
582,3287.75,6,98,47,1,0,13,28
583,3089.45,6,80,30,1,1,11,13
584,5001.45,43,78,49,1,1,13,31
585,4061.95,27,88,36,3,1,11,18
586,5050.45,49,40,46,3,1,6,39
587,2559.5,19,36,35,2,0,3,27
588,1656.75,1,28,36,3,0,2,32
589,5018.95,40,63,43,3,1,10,32
590,2438.2,16,33,40,4,1,4,30
591,3200.25,4,78,40,1,0,10,27
592,4325.2,41,65,34,4,1,6,26
593,4294.2,34,79,40,4,1,9,28
594,2731.95,3,40,45,1,1,6,32
595,4764.45,34,87,33,1,1,11,15
596,2910.45,11,68,45,1,1,9,33
597,2566.45,8,22,46,3,1,3,37
598,2469,1,58,33,4,0,6,22
599,2157.2,6,45,31,2,1,7,22
600,3300.2,25,33,43,4,1,4,38
601,3088.7,23,46,45,2,1,7,31
602,2592,16,35,43,2,0,5,34
603,3216.5,10,64,41,4,0,8,29
604,3755.5,33,52,36,4,0,9,23
605,4370.75,37,50,34,3,0,5,24
606,5586.5,39,99,41,2,0,15,25
607,3698,15,95,40,2,0,9,28
608,3144.5,12,49,49,4,0,7,35
609,3461.5,29,49,41,4,0,8,29
610,5113.7,42,84,48,4,1,8,37
611,3032.2,25,29,34,4,1,3,26
612,2752.75,13,62,30,3,0,10,18
613,5161.95,43,71,38,3,1,8,26
614,3523.2,15,96,32,2,1,13,18
615,4172.75,34,36,32,3,0,6,24
616,2454.2,8,46,31,4,1,7,18
617,3475,4,88,35,2,0,11,22
618,2965.75,9,76,43,1,0,8,32
619,2860.75,10,54,35,1,0,7,26
620,4295,31,61,30,2,0,9,16
621,2575,10,51,41,4,0,6,30
622,3280,24,27,34,4,0,3,30
623,4411.95,20,98,46,3,1,16,24
624,3315.95,11,74,37,3,1,8,22
625,3519.7,24,59,48,4,1,7,37
626,3187.25,27,27,49,1,0,2,45
627,4329,47,53,43,2,0,7,34
628,2699.25,3,76,37,3,0,8,25
629,4475.25,42,59,34,1,0,8,19
630,4607.7,43,37,45,2,1,5,33
631,3585.25,27,74,41,3,0,8,27
632,5143.7,36,89,43,2,1,12,25
633,5191.45,47,63,39,1,1,8,25
634,2459,12,20,47,2,0,3,42
635,4506.25,44,29,40,3,0,4,31
636,3400.45,20,73,48,3,1,11,35
637,4374.5,41,50,33,4,0,5,25
638,3635.2,14,79,39,2,1,10,28
639,4927.45,47,32,45,3,1,4,35
640,3675.45,38,50,34,1,1,7,25
641,2753.25,9,68,35,1,0,7,21
642,2978.25,8,41,41,1,0,5,33
643,3296.75,12,78,44,1,0,13,26
644,2292.7,3,36,47,4,1,3,37
645,5419.7,46,74,37,4,1,13,17
646,2880.45,15,34,45,3,1,5,35
647,3362.7,29,40,37,4,1,5,29
648,3605.5,25,31,47,2,0,5,39
649,1856.75,2,21,34,3,0,2,26
650,3706.75,24,88,38,3,0,13,20
651,5192.2,40,82,45,2,1,10,32
652,3969.75,36,53,30,3,0,5,22
653,4984.7,39,67,45,4,1,11,33
654,2971.75,7,87,35,1,0,9,22
655,3623.2,32,28,48,4,1,4,40
656,3492.95,34,26,42,3,1,3,36
657,5036.7,41,86,42,2,1,15,23
658,5511.25,44,92,37,3,0,13,23
659,4049.25,13,99,45,3,0,11,33
660,2968.25,15,46,41,1,0,6,33
661,3588.75,26,65,43,3,0,6,34
662,3886.75,14,78,38,3,0,9,26
663,4685,27,93,36,2,0,10,22
664,4271.25,33,58,40,3,0,6,27
665,3151.75,35,20,38,3,0,2,34
666,3486.95,26,31,36,3,1,3,32
667,2733,6,91,36,2,0,13,20
668,4029.95,47,26,37,1,1,2,32
669,4368.95,47,46,44,3,1,7,30
670,3589.7,35,30,45,2,1,3,37
671,2945.75,20,21,49,1,0,2,46
